Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.510,17221.886,44.471,20468,194.677
CrawlerDynamicLearning,6.546,17268.886,38.799,21006,440.626
CrawlerDynamicLearning,6.545,17322.227,44.856,21034,322.761
CrawlerDynamicLearning,6.497,17376.422,45.745,20808,206.734
CrawlerDynamicLearning,6.515,17431.053,46.220,21163,146.716
CrawlerDynamicLearning,6.506,17482.783,43.375,21169,245.212
CrawlerDynamicLearning,6.505,17532.532,41.457,21087,170.124
CrawlerDynamicLearning,6.492,17587.413,46.469,20691,214.634
CrawlerDynamicLearning,6.517,17638.305,42.539,20508,317.027
CrawlerDynamicLearning,6.539,17686.822,40.285,20391,254.692
CrawlerDynamicLearning,6.513,17737.162,42.013,20564,284.455
CrawlerDynamicLearning,6.472,17793.407,47.797,20518,275.183
CrawlerDynamicLearning,6.498,17843.246,41.521,20720,301.327
CrawlerDynamicLearning,6.507,17890.791,39.367,20586,452.307
CrawlerDynamicLearning,6.522,17948.238,48.840,20939,344.613
CrawlerDynamicLearning,6.499,18001.084,44.450,20908,231.478
CrawlerDynamicLearning,6.489,18050.543,41.264,20684,176.750
CrawlerDynamicLearning,6.524,18100.986,42.119,20457,246.539
CrawlerDynamicLearning,6.517,18153.881,44.501,21123,215.446
CrawlerDynamicLearning,6.502,18210.435,48.188,21160,261.529
CrawlerDynamicLearning,6.526,18256.558,38.017,22057,167.575
CrawlerDynamicLearning,6.516,18313.511,48.530,20996,386.833
CrawlerDynamicLearning,6.518,18367.149,45.152,20917,203.939
CrawlerDynamicLearning,6.514,18418.684,43.185,20988,295.660
CrawlerDynamicLearning,6.502,18467.521,40.647,20773,201.600
CrawlerDynamicLearning,6.501,18525.550,49.415,21238,222.381
CrawlerDynamicLearning,6.538,18576.436,42.560,21176,267.744
CrawlerDynamicLearning,6.532,18630.892,45.957,20346,259.870
CrawlerDynamicLearning,6.537,18677.248,38.370,21205,191.764
CrawlerDynamicLearning,6.513,18734.183,48.069,20909,163.779
CrawlerDynamicLearning,6.520,18784.865,42.385,20817,329.282
CrawlerDynamicLearning,6.483,18837.168,43.952,20802,302.901
CrawlerDynamicLearning,6.524,18893.834,48.076,21152,213.387
CrawlerDynamicLearning,6.524,18944.307,42.135,21068,184.479
CrawlerDynamicLearning,6.509,18999.007,46.200,20991,253.235
CrawlerDynamicLearning,6.494,19048.497,41.260,20447,368.332
CrawlerDynamicLearning,6.522,19099.891,43.087,20727,172.035
CrawlerDynamicLearning,6.494,19150.357,42.338,20904,292.059
CrawlerDynamicLearning,6.484,19207.104,48.295,20484,351.828
CrawlerDynamicLearning,6.483,19258.023,42.639,20690,245.409
CrawlerDynamicLearning,6.533,19310.194,43.827,21011,475.240
CrawlerDynamicLearning,6.520,19359.667,41.166,21077,287.652
CrawlerDynamicLearning,6.542,19415.822,47.575,20806,258.940
CrawlerDynamicLearning,6.516,19468.993,44.727,21043,218.433
CrawlerDynamicLearning,6.520,19522.602,45.125,21087,221.636
CrawlerDynamicLearning,6.579,19571.009,40.204,21192,267.923
CrawlerDynamicLearning,6.504,19625.334,45.837,20743,222.115
CrawlerDynamicLearning,6.560,19677.743,44.122,21173,291.815
CrawlerDynamicLearning,6.505,19729.163,43.116,20678,371.080
CrawlerDynamicLearning,6.520,19786.114,48.491,20891,290.306
CrawlerDynamicLearning,6.568,19836.757,42.241,21000,256.019
CrawlerDynamicLearning,6.473,19885.647,40.699,20774,336.973
CrawlerDynamicLearning,6.506,19938.176,44.103,20960,243.623
CrawlerDynamicLearning,6.514,19990.658,44.090,20566,295.848
CrawlerDynamicLearning,6.543,20046.372,47.131,20686,245.464
CrawlerDynamicLearning,6.493,20095.737,41.176,20750,419.858
CrawlerDynamicLearning,6.490,20147.076,43.075,21004,329.723
CrawlerDynamicLearning,6.460,20198.806,43.449,21146,396.822
CrawlerDynamicLearning,6.510,20254.271,46.607,21133,363.364
CrawlerDynamicLearning,6.525,20305.176,42.573,21128,376.792
CrawlerDynamicLearning,6.506,20357.314,43.811,20446,234.101
CrawlerDynamicLearning,6.486,20411.211,45.861,21011,500.680
CrawlerDynamicLearning,6.483,20461.435,41.964,20964,220.233
CrawlerDynamicLearning,6.527,20514.836,44.950,20408,403.010
CrawlerDynamicLearning,6.496,20563.833,40.912,20488,385.164
CrawlerDynamicLearning,6.502,20613.724,41.616,20692,372.821
CrawlerDynamicLearning,6.495,20670.368,48.105,20471,400.418
CrawlerDynamicLearning,6.516,20722.564,43.866,20850,257.944
CrawlerDynamicLearning,6.505,20770.238,39.563,20284,357.934
CrawlerDynamicLearning,6.535,20822.822,44.317,20971,459.614
CrawlerDynamicLearning,6.497,20880.127,48.747,20242,408.818
CrawlerDynamicLearning,6.475,20926.161,37.939,20363,225.563
CrawlerDynamicLearning,6.495,20981.345,46.706,20288,203.146
CrawlerDynamicLearning,6.517,21029.832,40.366,21096,193.283
CrawlerDynamicLearning,6.495,21076.432,38.479,20528,411.488
CrawlerDynamicLearning,6.518,21130.275,45.519,21039,261.217
CrawlerDynamicLearning,6.518,21189.122,50.388,21017,310.448
CrawlerDynamicLearning,6.484,21232.357,35.429,20401,280.678
CrawlerDynamicLearning,6.522,21278.773,38.394,20784,329.683
CrawlerDynamicLearning,6.519,21330.571,43.446,20474,235.011
CrawlerDynamicLearning,6.510,21386.171,47.195,20917,262.213
CrawlerDynamicLearning,6.549,21434.918,40.563,21240,314.628
CrawlerDynamicLearning,6.483,21487.579,44.255,20994,226.698
CrawlerDynamicLearning,6.528,21538.667,42.930,20543,303.071
CrawlerDynamicLearning,6.511,21591.788,44.690,20718,302.838
CrawlerDynamicLearning,6.504,21643.184,43.120,20839,327.664
CrawlerDynamicLearning,6.494,21696.880,44.918,20921,139.039
CrawlerDynamicLearning,6.514,21747.929,42.793,21233,270.795
CrawlerDynamicLearning,6.491,21798.551,42.431,20249,393.579
CrawlerDynamicLearning,6.573,21854.747,47.630,21153,364.216
CrawlerDynamicLearning,6.488,21903.314,40.567,20343,274.510
CrawlerDynamicLearning,6.518,21958.469,46.661,21110,320.343
