Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.398,10432.340,19.943,20715,461.700
CrawlerDynamicLearning,6.385,10460.255,20.625,20305,428.930
CrawlerDynamicLearning,6.410,10487.861,20.015,20443,444.737
CrawlerDynamicLearning,6.411,10512.462,17.334,20308,419.971
CrawlerDynamicLearning,6.407,10541.778,21.898,21106,427.324
CrawlerDynamicLearning,6.392,10566.880,17.866,20429,473.041
CrawlerDynamicLearning,6.375,10595.150,20.908,20448,496.248
CrawlerDynamicLearning,6.392,10622.070,19.650,20279,412.898
CrawlerDynamicLearning,6.417,10649.657,20.204,21151,421.454
CrawlerDynamicLearning,6.384,10679.934,22.820,21223,480.605
CrawlerDynamicLearning,6.439,10705.121,17.902,21132,505.585
CrawlerDynamicLearning,6.405,10730.584,18.222,20365,492.671
CrawlerDynamicLearning,6.393,10758.643,20.701,20475,503.102
CrawlerDynamicLearning,6.427,10785.558,19.580,20817,461.324
CrawlerDynamicLearning,6.429,10812.174,19.309,21093,459.360
CrawlerDynamicLearning,6.404,10840.073,20.531,20917,436.437
CrawlerDynamicLearning,6.427,10867.911,20.443,21153,497.475
CrawlerDynamicLearning,6.394,10896.187,20.902,21213,418.127
CrawlerDynamicLearning,6.386,10923.043,19.606,20594,447.057
CrawlerDynamicLearning,6.412,10951.445,21.013,21158,448.903
CrawlerDynamicLearning,6.531,10978.310,19.408,20821,457.659
CrawlerDynamicLearning,6.425,11005.872,20.168,20687,490.620
CrawlerDynamicLearning,6.423,11033.116,19.884,21225,486.753
CrawlerDynamicLearning,6.412,11058.917,18.531,21077,483.892
CrawlerDynamicLearning,6.419,11086.393,20.101,20650,422.412
CrawlerDynamicLearning,6.404,11114.444,20.713,20872,445.024
CrawlerDynamicLearning,6.380,11141.925,20.158,20592,501.176
CrawlerDynamicLearning,6.501,11169.715,20.393,21127,474.117
CrawlerDynamicLearning,6.394,11195.106,18.159,20278,528.224
CrawlerDynamicLearning,6.383,11223.208,20.783,20831,473.530
CrawlerDynamicLearning,6.386,11249.242,18.735,20702,513.594
CrawlerDynamicLearning,6.393,11276.468,19.652,20294,471.028
CrawlerDynamicLearning,6.386,11304.372,20.581,20811,474.373
CrawlerDynamicLearning,6.420,11329.931,18.298,20249,511.333
CrawlerDynamicLearning,6.408,11358.249,20.958,20936,473.788
CrawlerDynamicLearning,6.403,11386.470,20.843,20328,473.829
CrawlerDynamicLearning,6.464,11410.966,17.242,20338,488.968
CrawlerDynamicLearning,6.424,11439.409,21.062,20446,473.451
CrawlerDynamicLearning,6.402,11464.986,18.317,20916,487.881
CrawlerDynamicLearning,6.430,11494.416,21.994,21444,495.256
CrawlerDynamicLearning,6.414,11522.539,20.754,20632,519.121
CrawlerDynamicLearning,6.421,11547.437,17.629,21022,466.905
CrawlerDynamicLearning,6.422,11576.774,21.899,20881,558.924
CrawlerDynamicLearning,6.477,11604.914,20.696,20375,484.512
CrawlerDynamicLearning,6.467,11630.646,18.364,20824,530.693
